$;69;22;210.72;175.75;-0.15;-0.15;-0.24;451.79;#
$;69;22;209.56;175.75;-0.15;-0.15;-0.24;451.79;#
$;69;23;209.56;175.75;-0.15;-0.15;-0.24;451.79;#
$;69;22;210.72;175.75;-0.15;-0.15;-0.24;451.79;#
$;69;22;210.72;175.75;-0.15;-0.15;-0.24;451.79;#
$;69;23;211.88;175.75;-0.15;-0.15;-0.24;451.79;#
$;69;23;210.72;175.75;-0.15;-0.15;-0.24;451.79;#
$;69;22;210.72;175.75;-0.15;-0.15;-0.24;451.79;#
$;69;23;210.72;175.75;-0.15;-0.1$;69;23;210.72;175.75;-0.15;-0.15;-0.24;451.79;#
$;69;22;210.72;175.75;-0.15;-0.15;-0.24;451.79;#
$;69;22;204.93;175.75;-0.15;-0.15;-0.24;451.79;#
$;69;22;185.25;175.75;-0.15;-0.15;-0.24;451.79;#
$;69;22;178.30;175.75;-0.15;-0.15;-0.24;451.79;#
$;69;23;191.04;174.32;-0.15;-0.15;-0.24;451.79;#
$;69;22;209.56;172.89;-0.15;-0.15;-0.24;451.79;#
$;69;23;204.93;171.46;-0.15;-0.15;-0.24;451.79;#
$;69;22;203.77;168.61;-0.15;-0.15;-0.24;451.79;#
$;69;23;200.30;167.18;-0.15;-0.15;-0.24;451.79;#
$;69;22;206.09;168.61;-0.15;-0.15;-0.24;451.79;#
$;69;23;206.09;165.75;-0.15;-0.15;-0.24;451.79;#
$;69;23;181.78;164.32;-0.15;-0.15;-0.24;451.79;#
$;69;23;150.52;161.46;-0.15;-0.15;-0.24;451.79;#
$;69;22;191.04;164.32;-0.15;-0.15;-0.24;451.79;#
$;69;23;207.25;167.18;-0.15;-0.15;-0.24;451.79;#
$;69;23;201.46;168.61;-0.15;-0.15;-0.24;451.79;#
$;69;22;152.83;161.46;-0.15;-0.1$;69;22;165.57;158.60;-0.15;-0.15;-0.24;451.79;#
$;69;22;162.09;165.75;-0.15;-0.15;-0.24;451.79;#
$;69;22;189.88;170.03;-0.15;-0.15;-0.24;451.79;#
